  Number  Category         Value
--------  ---------------  ----------------------------
       1  Special symbol   #
       2  Keyword          include
       3  Identifier       <iostream>
       4  ~~~ERROR!!!      `
       5  ~~~ERROR!!!      ▽
       6  Keyword          class
       7  Identifier       Cloud
       8  Separator        {
       9  Keyword          private
      10  Operator         :
      11  Data type        int
      12  Identifier       density
      13  Separator        ;
      14  Data type        int
      15  Identifier       volume
      16  Separator        ;
      17  Keyword          public
      18  Operator         :
      19  Identifier       Cloud
      20  Separator        (
      21  Data type        int
      22  Identifier       d
      23  Separator        ,
      24  Data type        int
      25  Identifier       v
      26  Separator        )
      27  Separator        {
      28  Separator        }
      29  Data type        void
      30  Identifier       setDensity
      31  Separator        (
      32  Data type        int
      33  Identifier       d
      34  Separator        )
      35  Separator        {
      36  Identifier       density
      37  Operator         =
      38  Identifier       d
      39  Separator        ;
      40  Separator        }
      41  Data type        void
      42  Identifier       setVolume
      43  Separator        (
      44  Data type        int
      45  Identifier       v
      46  Separator        )
      47  Separator        {
      48  Identifier       volume
      49  Operator         =
      50  Identifier       v
      51  Separator        ;
      52  Separator        }
      53  Data type        int
      54  Identifier       getDensity
      55  Separator        (
      56  Separator        )
      57  Keyword          const
      58  Separator        {
      59  Keyword          return
      60  Identifier       density
      61  Separator        ;
      62  Separator        }
      63  Data type        int
      64  Identifier       getSquare
      65  Separator        (
      66  Separator        )
      67  Keyword          const
      68  Separator        {
      69  Keyword          return
      70  Identifier       square
      71  Separator        ;
      72  Separator        }
      73  Data type        int
      74  Identifier       weight
      75  Separator        (
      76  Separator        )
      77  Keyword          const
      78  Separator        {
      79  Keyword          return
      80  Identifier       density
      81  Operator         *
      82  Identifier       volume
      83  Separator        ;
      84  Separator        }
      85  Separator        }
      86  Separator        ;
      87  Keyword          struct
      88  Identifier       Bird
      89  Separator        {
      90  Data type        char
      91  Identifier       name
      92  Operator         [
      93  Numeric Literal  30
      94  Operator         ]
      95  Separator        ;
      96  Data type        int
      97  Identifier       speed
      98  Separator        ;
      99  Separator        }
     100  Separator        ;
     101  Data type        int
     102  Identifier       main
     103  Separator        (
     104  Separator        )
     105  Separator        {
     106  Data type        float
     107  Identifier       a
     108  Operator         =
     109  Numeric Literal  3.79
     110  Separator        ;
     111  Data type        int
     112  Operator         *
     113  Identifier       ptr
     114  Operator         =
     115  Literal Pointer  nullptr
     116  Separator        ;
     117  Data type        auto
     118  Identifier       z
     119  Operator         =
     120  Binary Literal   0B001101
     121  Data type        int
     122  Identifier       x
     123  Operator         =
     124  Numeric Literal  2
     125  Separator        ;
     126  Data type        int
     127  Identifier       y
     128  Operator         =
     129  Numeric Literal  3
     130  Separator        ;
     131  Identifier       x
     132  Operator         =
     133  Identifier       x
     134  Operator         +
     135  Identifier       y
     136  Separator        ;
     137  Keyword          if
     138  Separator        (
     139  Identifier       x
     140  Operator         >
     141  Numeric Literal  5
     142  Separator        )
     143  Separator        {
     144  Identifier       printf
     145  Separator        (
     146  Separator        "
     147  String Literal   x > 5
     148  Separator        \n
     149  Separator        "
     150  Separator        )
     151  Separator        ;
     152  Separator        }
     153  Keyword          else
     154  Separator        {
     155  Identifier       printf
     156  Separator        (
     157  Separator        "
     158  String Literal   x < 5
     159  Separator        \n
     160  Separator        "
     161  Separator        )
     162  Separator        ;
     163  Separator        }
     164  Identifier       Cloud
     165  Identifier       storm
     166  Separator        (
     167  Numeric Literal  12
     168  Separator        ,
     169  Numeric Literal  40
     170  Separator        )
     171  Separator        ;
     172  Namespace        std
     173  Operator         ::
     174  Keyword          cout
     175  Operator         <<
     176  Separator        "
     177  String Literal   Density:
     178  Separator        "
     179  Operator         <<
     180  Identifier       storm
     181  Operator         .
     182  Identifier       getDensity
     183  Separator        (
     184  Separator        )
     185  Operator         <<
     186  Namespace        std
     187  Operator         ::
     188  Keyword          endl
     189  Separator        ;
     190  Namespace        std
     191  Operator         ::
     192  Keyword          cout
     193  Operator         <<
     194  Separator        "
     195  String Literal   Volume:
     196  Separator        "
     197  Operator         <<
     198  Identifier       storm
     199  Operator         .
     200  Identifier       getHeight
     201  Separator        (
     202  Separator        )
     203  Operator         <<
     204  Namespace        std
     205  Operator         ::
     206  Keyword          endl
     207  Separator        ;
     208  Namespace        std
     209  Operator         ::
     210  Keyword          cout
     211  Operator         <<
     212  Separator        "
     213  String Literal   Weight of the cloud:
     214  Separator        "
     215  Operator         <<
     216  Identifier       storm
     217  Operator         .
     218  Identifier       weight
     219  Separator        (
     220  Separator        )
     221  Operator         <<
     222  Namespace        std
     223  Operator         ::
     224  Keyword          endl
     225  Separator        ;
     226  Identifier       rect
     227  Operator         .
     228  Identifier       setDensity
     229  Separator        (
     230  Numeric Literal  7
     231  Separator        )
     232  Separator        ;
     233  Identifier       rect
     234  Operator         .
     235  Identifier       setVolume
     236  Separator        (
     237  Numeric Literal  4
     238  Separator        )
     239  Separator        ;
     240  Namespace        std
     241  Operator         ::
     242  Keyword          cout
     243  Operator         <<
     244  Separator        "
     245  String Literal   Updated weight of the cloud:
     246  Separator        "
     247  Operator         <<
     248  Identifier       storm
     249  Operator         .
     250  Identifier       weight
     251  Separator        (
     252  Separator        )
     253  Operator         <<
     254  Namespace        std
     255  Operator         ::
     256  Keyword          endl
     257  Separator        ;
     258  Data type        int
     259  Identifier       numbers
     260  Operator         [
     261  Numeric Literal  4
     262  Operator         ]
     263  Operator         =
     264  Separator        {
     265  Numeric Literal  1E+10
