   POS                   TYPE                       VALUE       
---------- -------------------------------- --------------------
[1:10]     LexemeTypes.KEY_WORD             KeyWords.INCLUDE    
[1:12]     LexemeTypes.OPERATOR             Operators.LESS      
[1:12]     LexemeTypes.IDENTIFIER           Identifier-ID: 0    
[1:21]     LexemeTypes.OPERATOR             Operators.GREATER   
[2:06]     LexemeTypes.KEY_WORD             KeyWords.USING      
[2:16]     LexemeTypes.KEY_WORD             KeyWords.NAMESPACE  
[2:17]     LexemeTypes.IDENTIFIER           Identifier-ID: 1    
[2:20]     LexemeTypes.DELIMITER            Delimiters.SEMICOLON
[4:05]     LexemeTypes.KEY_WORD             KeyWords.VOID       
[4:06]     LexemeTypes.IDENTIFIER           Identifier-ID: 2    
[4:15]     LexemeTypes.DELIMITER            Delimiters.OPEN_PARENTHESIS
[4:19]     LexemeTypes.KEY_WORD             KeyWords.INT        
[4:21]     LexemeTypes.OPERATOR             Operators.MULTIPLY  
[4:21]     LexemeTypes.IDENTIFIER           Identifier-ID: 3    
[4:26]     LexemeTypes.DELIMITER            Delimiters.COMMA    
[4:31]     LexemeTypes.KEY_WORD             KeyWords.INT        
[4:32]     LexemeTypes.IDENTIFIER           Identifier-ID: 4    
[4:37]     LexemeTypes.DELIMITER            Delimiters.COMMA    
[4:42]     LexemeTypes.KEY_WORD             KeyWords.INT        
[4:43]     LexemeTypes.IDENTIFIER           Identifier-ID: 5    
[4:47]     LexemeTypes.DELIMITER            Delimiters.CLOSE_PARENTHESIS
[5:01]     LexemeTypes.DELIMITER            Delimiters.OPEN_BRACES
[6:08]     LexemeTypes.KEY_WORD             KeyWords.INT        
[6:09]     LexemeTypes.IDENTIFIER           Identifier-ID: 6    
[6:12]     LexemeTypes.DELIMITER            Delimiters.COMMA    
[6:14]     LexemeTypes.IDENTIFIER           Identifier-ID: 7    
[6:19]     LexemeTypes.DELIMITER            Delimiters.SEMICOLON
[7:08]     LexemeTypes.KEY_WORD             KeyWords.INT        
[7:09]     LexemeTypes.IDENTIFIER           Identifier-ID: 8    
[7:12]     LexemeTypes.OPERATOR             Operators.EQUAL     
[7:13]     LexemeTypes.IDENTIFIER           Identifier-ID: 4    
[7:18]     LexemeTypes.DELIMITER            Delimiters.COMMA    
[7:20]     LexemeTypes.IDENTIFIER           Identifier-ID: 9    
[7:23]     LexemeTypes.OPERATOR             Operators.EQUAL     
[7:24]     LexemeTypes.IDENTIFIER           Identifier-ID: 5    
[7:28]     LexemeTypes.DELIMITER            Delimiters.SEMICOLON
[8:05]     LexemeTypes.IDENTIFIER           Identifier-ID: 6    
[8:10]     LexemeTypes.OPERATOR             Operators.EQUAL     
[8:11]     LexemeTypes.IDENTIFIER           Identifier-ID: 3    
[8:16]     LexemeTypes.DELIMITER            Delimiters.LEFT_BRACKET
[8:17]     LexemeTypes.DELIMITER            Delimiters.OPEN_PARENTHESIS
[8:18]     LexemeTypes.IDENTIFIER           Identifier-ID: 8    
[8:21]     LexemeTypes.OPERATOR             Operators.PLUS      
[8:22]     LexemeTypes.IDENTIFIER           Identifier-ID: 9    
[8:23]     LexemeTypes.DELIMITER            Delimiters.CLOSE_PARENTHESIS
[8:26]     LexemeTypes.OPERATOR             Operators.SLASH     
[8:27]     LexemeTypes.INT_NUM              Constant-ID: 0      
[8:28]     LexemeTypes.DELIMITER            Delimiters.RIGHT_BRACKET
[8:28]     LexemeTypes.DELIMITER            Delimiters.SEMICOLON
[10:07]    LexemeTypes.KEY_WORD             KeyWords.DO         
[10:08]    LexemeTypes.DELIMITER            Delimiters.OPEN_BRACES
[11:14]    LexemeTypes.KEY_WORD             KeyWords.WHILE      
[11:15]    LexemeTypes.DELIMITER            Delimiters.OPEN_PARENTHESIS
[11:16]    LexemeTypes.IDENTIFIER           Identifier-ID: 3    
[11:21]    LexemeTypes.DELIMITER            Delimiters.LEFT_BRACKET
[11:22]    LexemeTypes.IDENTIFIER           Identifier-ID: 8    
[11:23]    LexemeTypes.DELIMITER            Delimiters.RIGHT_BRACKET
[11:25]    LexemeTypes.OPERATOR             Operators.LESS      
[11:26]    LexemeTypes.IDENTIFIER           Identifier-ID: 6    
[11:29]    LexemeTypes.DELIMITER            Delimiters.CLOSE_PARENTHESIS
[11:31]    LexemeTypes.DELIMITER            Delimiters.OPEN_BRACES
[11:32]    LexemeTypes.IDENTIFIER           Identifier-ID: 8    
[11:34]    LexemeTypes.OPERATOR             Operators.INCREMENT 
[11:35]    LexemeTypes.DELIMITER            Delimiters.SEMICOLON
[11:37]    LexemeTypes.DELIMITER            Delimiters.CLOSE_BRACES
[12:14]    LexemeTypes.KEY_WORD             KeyWords.WHILE      
[12:15]    LexemeTypes.DELIMITER            Delimiters.OPEN_PARENTHESIS
[12:16]    LexemeTypes.IDENTIFIER           Identifier-ID: 3    
[12:21]    LexemeTypes.DELIMITER            Delimiters.LEFT_BRACKET
[12:22]    LexemeTypes.IDENTIFIER           Identifier-ID: 9    
[12:23]    LexemeTypes.DELIMITER            Delimiters.RIGHT_BRACKET
[12:25]    LexemeTypes.OPERATOR             Operators.GREATER   
[12:26]    LexemeTypes.IDENTIFIER           Identifier-ID: 6    
[12:29]    LexemeTypes.DELIMITER            Delimiters.CLOSE_PARENTHESIS
[12:31]    LexemeTypes.DELIMITER            Delimiters.OPEN_BRACES
[12:32]    LexemeTypes.IDENTIFIER           Identifier-ID: 9    
[12:34]    LexemeTypes.OPERATOR             Operators.DECREMENT 
[12:35]    LexemeTypes.DELIMITER            Delimiters.SEMICOLON
[12:37]    LexemeTypes.DELIMITER            Delimiters.CLOSE_BRACES
[13:11]    LexemeTypes.KEY_WORD             KeyWords.IF         
[13:12]    LexemeTypes.DELIMITER            Delimiters.OPEN_PARENTHESIS
[13:13]    LexemeTypes.IDENTIFIER           Identifier-ID: 8    
[13:16]    LexemeTypes.OPERATOR             Operators.LESS_EQUAL
[13:18]    LexemeTypes.IDENTIFIER           Identifier-ID: 9    
[13:19]    LexemeTypes.DELIMITER            Delimiters.CLOSE_PARENTHESIS
[14:09]    LexemeTypes.DELIMITER            Delimiters.OPEN_BRACES
[15:13]    LexemeTypes.IDENTIFIER           Identifier-ID: 7    
[15:20]    LexemeTypes.OPERATOR             Operators.EQUAL     
[15:21]    LexemeTypes.IDENTIFIER           Identifier-ID: 3    
[15:26]    LexemeTypes.DELIMITER            Delimiters.LEFT_BRACKET
[15:27]    LexemeTypes.IDENTIFIER           Identifier-ID: 8    
[15:28]    LexemeTypes.DELIMITER            Delimiters.RIGHT_BRACKET
[15:28]    LexemeTypes.DELIMITER            Delimiters.SEMICOLON
[16:13]    LexemeTypes.IDENTIFIER           Identifier-ID: 3    
[16:18]    LexemeTypes.DELIMITER            Delimiters.LEFT_BRACKET
[16:19]    LexemeTypes.IDENTIFIER           Identifier-ID: 8    
[16:20]    LexemeTypes.DELIMITER            Delimiters.RIGHT_BRACKET
[16:22]    LexemeTypes.OPERATOR             Operators.EQUAL     
[16:23]    LexemeTypes.IDENTIFIER           Identifier-ID: 3    
[16:28]    LexemeTypes.DELIMITER            Delimiters.LEFT_BRACKET
[16:29]    LexemeTypes.IDENTIFIER           Identifier-ID: 9    
[16:30]    LexemeTypes.DELIMITER            Delimiters.RIGHT_BRACKET
[16:30]    LexemeTypes.DELIMITER            Delimiters.SEMICOLON
[17:13]    LexemeTypes.IDENTIFIER           Identifier-ID: 3    
[17:18]    LexemeTypes.DELIMITER            Delimiters.LEFT_BRACKET
[17:19]    LexemeTypes.IDENTIFIER           Identifier-ID: 9    
[17:20]    LexemeTypes.DELIMITER            Delimiters.RIGHT_BRACKET
[17:22]    LexemeTypes.OPERATOR             Operators.EQUAL     
[17:23]    LexemeTypes.IDENTIFIER           Identifier-ID: 7    
[17:28]    LexemeTypes.DELIMITER            Delimiters.SEMICOLON
[18:13]    LexemeTypes.IDENTIFIER           Identifier-ID: 8    
[18:15]    LexemeTypes.OPERATOR             Operators.INCREMENT 
[18:16]    LexemeTypes.DELIMITER            Delimiters.SEMICOLON
[19:13]    LexemeTypes.IDENTIFIER           Identifier-ID: 9    
[19:15]    LexemeTypes.OPERATOR             Operators.DECREMENT 
[19:16]    LexemeTypes.DELIMITER            Delimiters.SEMICOLON
[20:09]    LexemeTypes.DELIMITER            Delimiters.CLOSE_BRACES
[21:05]    LexemeTypes.DELIMITER            Delimiters.CLOSE_BRACES
[21:11]    LexemeTypes.KEY_WORD             KeyWords.WHILE      
[21:12]    LexemeTypes.DELIMITER            Delimiters.OPEN_PARENTHESIS
[21:13]    LexemeTypes.IDENTIFIER           Identifier-ID: 8    
[21:16]    LexemeTypes.OPERATOR             Operators.LESS      
[21:17]    LexemeTypes.IDENTIFIER           Identifier-ID: 9    
[21:18]    LexemeTypes.DELIMITER            Delimiters.CLOSE_PARENTHESIS
[21:19]    LexemeTypes.DELIMITER            Delimiters.SEMICOLON
[23:07]    LexemeTypes.KEY_WORD             KeyWords.IF         
[23:08]    LexemeTypes.DELIMITER            Delimiters.OPEN_PARENTHESIS
[23:09]    LexemeTypes.IDENTIFIER           Identifier-ID: 4    
[23:16]    LexemeTypes.OPERATOR             Operators.LESS      
[23:17]    LexemeTypes.IDENTIFIER           Identifier-ID: 9    
[23:18]    LexemeTypes.DELIMITER            Delimiters.CLOSE_PARENTHESIS
[24:05]    LexemeTypes.DELIMITER            Delimiters.OPEN_BRACES
[25:09]    LexemeTypes.IDENTIFIER           Identifier-ID: 2    
[25:18]    LexemeTypes.DELIMITER            Delimiters.OPEN_PARENTHESIS
[25:19]    LexemeTypes.IDENTIFIER           Identifier-ID: 3    
[25:24]    LexemeTypes.DELIMITER            Delimiters.COMMA    
